id,english,japanese,grade
556,injury,【名】負傷；（名誉などを）傷つけること,5
557,scratch,【名】ひっかき傷 【自】【他】ひっかく,4
558,strain,【他】を痛める；を酷使する 【名】張り；緊張；ストレス,6
559,death,【名】死（亡）,4
560,alive,【形】生きて；元気で,4
561,vivid,【形】生き生きした,5
562,fatal,【形】致命的な；取り返しのつかない,5
563,series,【名】連続；シリーズもの,5
564,sequence,【名】連続；順序,5
565,string,【名】ひと続き；ひも；糸,5
566,chain,【名】連鎖；鎖；束縛；チェーン（店）,4
567,row,【名】（横の）列 【自】【他】（船を）こぐ,4
568,rule,【名】規則；支配 【自】【他】支配する,3
569,principle,【名】（自然の）原理；原則；主義；方針,6
570,dominate,【自】【他】支配する,5
571,university,【名】（総合）大学,4
572,campus,(大学などの)構内；キャンパス,4
573,forbid,【他】を禁じる forbad，forbade＞forbidden,4
574,develop,【自】発達する 【他】を発達させる；を開発する,3
575,exploit,【他】を開発する；を利用する；につけこむ,6
576,Dutch,【名】オランダ人〔語〕 【形】オランダ（人；語）の,4
577,Egypt,【名】エジプト,3
578,Greece,【名】ギリシャ,3
579,Ireland,【名】アイルランド,3
580,Latin,【名】ラテン語；ラテン系の人 【形】ラテン系（民族；言語）の,5
581,Mexico,【名】メキシコ,3
582,Russian,【名】ロシア人〔語〕 【形】ロシア（人；語）の,3
583,extremely,【副】非常に,4
584,excessive,【形】過度の,6
585,declare,【他】を明言する；を宣言する,5
586,announce,【他】を発表する,3
587,planet,【名】（the）地球；惑星,3
588,bat,【名】コウモリ；バット 【自】【他】バットで打つ,3
589,bee,【名】（総称）ハチ；ミツバチ,2
590,insect,【名】昆虫,2
591,ant,【名】アリ,2
592,mosquito,【名】蚊（【複】-sまたは-es）,2
593,ceiling,【名】天井；（金額などの）上限,5
594,roof,【名】屋根,2
595,seed,【名】種 【他】（種）をまく,2
596,flight,【名】飛行,4
597,aircraft,【名】航空機,5
598,airline,【名】定期航空路；航空会社,6
599,laboratory,【名】研究室；実験室,5
600,institute,【名】（工科）大学；研究所；協会,6
601,facility,【名】施設；機能；才能,4
602,spot,【名】点；場所 【他】を見つける,3
603,location,【名】場所；位置,4
604,site,【名】敷地；跡地；（ウェブ）サイト,4
605,precisely,【副】正確に（≒exactly）,4
606,neat,【形】的確な；きちんとした,4
607,tidy,【形】整然とした 【自】【他】整頓する,3
608,military,【形】軍隊〔軍人〕の 【名】（the）軍隊,4
609,device,【名】装置；工夫,4
610,earthquake,【名】地震,3
611,shake,【自】揺れる 【他】を振り動かす / shook＞shaken,4
612,zone,【名】区域；地帯,4
613,mine,【名】鉱山；地雷,3
614,crystal,【名】【形】結晶（の）；水晶（の）,6
615,volcano,【名】火山,3
616,weapon,【名】武器,6
617,gun,【名】拳銃,3
618,bomb,【名】爆弾,3
619,terrorism,【名】テロ（リズム）,6
620,manipulate,【他】（人・世論・機械など）を操る,6
621,field,【名】場；畑；田；野原；競技場；分野,2
622,sphere,【名】（活動・関心などの）領域；球,6
623,ground,【名】地面；土（地）；根拠,2
624,underground,【形】【副】地下の〔に；で〕 【名】地下（鉄）（≒tube）,4
625,frame,【名】枠；骨組み；体格 【他】を枠にはめる；を立案する,4
626,structure,【名】構造；組織；建物,3
627,trigger,【他】を誘発する 【名】（銃の）引き金；誘因,6
628,function,【自】機能する 【名】機能；役割,3
629,dozen,【名】【形】ダース〔12個〕（の）,3
630,load,【他】を装着する；（荷）を積む 【名】積み荷；重荷,4
631,pile,【他】【自】積み重ねる〔なる〕 【名】積み重ね,4
632,burden,【名】重荷,4
633,permit,【他】を可能にする；を許す（≒allow）（⇔forbid）,4
634,excellent,【形】非常に優れた,3
635,prominent,【形】卓越した；目立った；（物理的に）突き出した,6
636,noble,【形】気高い；貴族の 【名】貴族,4
637,lord,【名】貴族；（Lord）～卿；君主,5
638,detect,【他】を検出する；を見抜く,4
639,trace,【名】（形）跡 【他】を追跡する；を見つけ出す,4
640,wind,【名】風；動向 【他】を巻く 【自】（道・川などが）曲がりくねって進む；巻きつく,3
641,top,【名】（通例the）頂上；最高位,3
642,bottom,【名】底；最下部,3
643,system,【名】体系；組織；方式,4
644,democracy,【名】民主主義（国）,6
645,devote,【他】を充てる；をささげる（to）,5
646,loyalty,【名】忠誠,5
647,contribute,【自】貢献する（to）；一因となる；寄付する 【他】を提供する,5
648,image,【名】画像；像；印象；生き写し,3
649,fancy,【名】空想；好み 【形】高価な；装飾的な 【他】を想像する；を好む,4
650,photo,【名】写真,3
651,statue,【名】像,2
652,data,【名】（単複両扱い）データ；資料（単数形は datum）,6
653,boil,【他】を煮る；を沸騰させる 【自】煮える；沸騰する,3
654,burn,【自】【他】焼く〔焼ける〕；燃やす〔燃える〕,3
655,command,【名】命令；指揮（権）；（言語の）運用力 【他】を指揮〔命令〕する；（風景など）を見下ろす,4
656,blame,【他】を非難する；のせいにする 【名】責任；非難,4
657,accuse,【他】を訴える；を非難する,4
658,condemn,【他】を責める；に有罪の判決を出す,6
659,forgive,【他】（人・行為・罪など）を許す,3
660,apologize,【自】謝る,3
661,so-called,【形】いわゆる,4
662,hypothesis,【名】仮説；（議論の）前提（【複】-ses）,6
663,premise,【名】前提；【複】建物の敷地,6
664,assume,【他】と思い込む〔仮定する〕；（責任など）を引き受ける；（表情など）を帯びる,4
665,risk,【名】危険（性） 【他】を危険にさらす；あえて...する（...ing）,4
666,dare,【他】あえて〔大胆にも〕...する（（to） do）,4
667,nowadays,【副】この頃；最近では,3
668,bathe,【自】【他】入浴する〔させる〕,2
669,sink,【自】沈む；（人・体が）崩れ落ちる 【他】を沈める / sank＞sunk,3
670,float,【自】浮く；漂う 【他】を浮かべる,2
671,drift,【自】漂う；（知らぬ間に）移り変わる 【名】漂流物,3
672,dust,【名】ほこり,1
673,substance,【名】物質；本質；重要性,6
674,trend,【名】傾向；流行,4
675,encounter,【他】（偶然）に出くわす 【名】出会い,4
676,resistant,【形】耐性のある；抵抗する,5
677,share,【他】を共有する；を分配する 【自】分担する 【名】割り当て；分け前；役割,4
678,wide,【形】（幅・範囲・視野が）広い,2
679,widespread,【形】広範囲にわたる,5
680,narrow,【形】（幅・心・範囲が）狭い；辛うじての,3
681,range,【名】範囲 【自】（範囲が）及ぶ 【他】を並べる,3
682,realm,【名】領域；分野（≒field）,6
683,territory,【名】領土；（知識・活動の）範囲；縄張り,4
684,district,【名】地域；地区,3
685,prefecture,【名】都；道；府；県,6
686,province,【名】（カナダなどの）州；（中国などの）省；（the -s）地方；分野,6
687,income,【名】収入,5
688,level,【名】水準；程度；高さ,4
689,horizon,（通例the）地〔水〕平線；範囲,6
690,education,【名】教育,3
691,thus,【副】このように（して）（≒therefore，in this way）,6
692,hence,【副】（文修飾）したがって,6
693,victim,【名】被害者；犠牲者,4
694,sacrifice,【名】犠牲（的行為） 【他】を犠牲にする,4
695,prey,【名】（動物の）獲物；餌食 【自】捕食する（on）,5
696,satisfy,【他】を満たす；を満足させる,4
697,requirement,【名】必要条件；要求（物）,5
698,enjoyment,【名】楽しみ；享受,4
699,joy,【名】喜び（⇔sorrow）,2
700,pleasure,【名】楽しみ,2
701,delight,【名】大きな喜び 【他】を大喜びさせる 【自】楽しむ,4
702,pleasant,【形】楽しい；心地よい,3
703,latest,【形】最新〔最近〕の,4
704,advance,【名】進歩；前進 【他】【自】進歩させる〔する〕,4
705,proceed,【自】進む；続ける（with）；取り掛かる（to）；次に...する（to do）,5
706,sophisticated,【形】洗練された；（機器・装置などが）精巧な,5
707,retreat,【名】後退；撤退 【自】後退する；逃げる,5
708,publish,【他】を発表する；を出版する,5
709,journal,【名】（定期刊行）雑誌；日誌,6
710,translation,【名】翻訳（書）；移行,4
711,accuracy,【名】正確さ；精度,4
712,random,【形】無作為の；手当たり次第の,4
713,keen,【形】熱心な；鋭い；激しい,4
714,crazy,【形】夢中である（about）；正気でない,2
715,nation,【名】国家；国民,3
716,citizen,【名】市民,6
717,political,【形】政治（上）の,4
718,mayor,【名】（しばしば the M-）市長；（自治体の）長,6
719,current,【形】現在の；（考えなどが）通用して 【名】（水・空気・考えなどの）流れ,5
720,affair,【名】問題；事態；用事；事件,6
721,deliver,【他】を伝える；（演説など）を行う；を配達する,4
722,distribute,【他】を分配する,4
723,post,【他】を投函する 【名】郵便（制度）；地位；柱,3
724,address,【名】住所；演説；あいさつ 【他】に演説する；に話しかける；（課題など）に取り組む,3
725,literature,【名】文学；文献,6
726,literal,【形】文字通りの,5
727,literacy,【名】読み書きの能力；（ある分野の）知識能力,6
728,imply,【他】を意味〔暗示〕する,5
729,metaphor,【名】隠喩；象徴（for）,6
730,enter,【他】に入る；に入学する,2
731,inevitably,【副】必然的に,6
732,intellectual,【形】知的な 【名】知識人,6
733,brilliant,【形】優れた；輝く,4
734,urge,【名】欲望；衝動 【他】を説得する；を主張する,4
735,impulse,【名】衝動；刺激,5
736,drive,【他】を駆り立てる；（車）を運転する；（人）を車で送る 【自】自動車を運転する / drove＞driven 【名】衝動；ドライブ,4
737,mention,【他】について言う〔書く〕 【名】言及すること,4
738,refer,【自】言及する（to）；参照する（to）；関連がある（to） / referred＞referred＞referring,3
739,comment,【自】論評する（on） 【名】論評,4
740,remark,【名】（短めの）感想；発言 【他】だと述べる（that節）,4
741,pronounce,【他】を発音する：を宣言〔宣告〕する,3
742,accent,【名】なまり；アクセント,3
743,dialect,【名】方言,6
744,repeat,【自】【他】繰り返す,1
745,grammar,【名】文法,1
746,vocabulary,【名】語彙,1
747,talent,【名】才能（ある人々）,4
748,genius,【名】天才；才能,6
749,gift,【名】才能；贈り物,3
750,faculty,【名】能力；学部,5
751,eager,【形】熱心な；熱望して（for）（≒anxious）,3
752,curiosity,【名】好奇心,4
753,imitate,【他】をまねる,3
754,memory,【名】記憶（力）；思い出,2
755,monument,【名】記念碑；遺跡,6
756,respect,【他】を尊敬する；を尊重する 【名】尊敬；尊重；点（≒point）,3
757,admire,【他】を賞賛する；に感心する,3
758,praise,【他】を賞賛する 【名】賞賛,3
759,discuss,【他】について話し合う〔討議する〕（≒argue）,3
760,conversation,【名】会話；対談,4
761,panel,【名】（公開討議会の）出席者；パネル；専門家集団；委員会,6
762,studio,【名】スタジオ；放送室,4
763,settle,【自】【他】落ち着く；定住する 【他】を解決する；を決める,4
764,animation,【名】アニメ（制作）；活気,6
765,refuse,"【他】を拒絶する（≒decline, reject）（⇔accept） 【名】ゴミ",3
766,beast,【名】獣；動物,4
767,beauty,【名】美人；美しさ,4
768,invite,【他】を招待する；を依頼する,3
769,crowd,【名】群衆；（the）大衆 【自】群がる 【他】に群がる,4
770,burst,【自】【名】破裂〔突発〕（する） / burst＞burst,6
771,explode,【自】爆発する；急増する,4
772,crack,【自】【他】割れる〔割る〕；パチッとなる〔鳴らす〕 【名】割れ目；すき間；鋭い音,4
773,shout,【自】【他】大声で言う；叫ぶ 【名】叫び,2
774,exclaim,【自】【他】（突然）叫ぶ,5
775,whisper,【自】ささやく（to） 【名】ささやき,4
776,replace,【他】に取って代わる；を取り替える,3
777,alter,【他】を変える 【自】変わる,4
778,substitute,【他】を代わりに使う 【名】代用品；代理人,4
779,force,【他】（force A to do）Aに無理やり...させる；に押しつける 【名】（暴）力；【複】軍隊,3
780,compel,【他】（compel A to do）Aに...することを強いる / compelled＞compelled,5
781,impose,【他】を課す；を押しつける 【自】つけこむ（on）,6
782,bully,【他】をいじめる 【名】いじめっ子,3
783,army,【名】軍隊,4
784,marine,【形】【名】海軍（の）；海（の）,6
785,soldier,【名】（陸軍の）軍人；戦士,4
786,draw,【自】絵〔線〕を描く；ゆっくりと移動する 【他】（線で）を描く；を引っ張る,3
787,portray,【他】（人物・風景など）を描く；（言葉で）を描写する,6
788,drag,【他】（重い物）を引きずる 【自】のろのろと進む；だらだらと続く,4
789,recent,【形】最近の,4
790,interview,【名】【他】インタビュー（する）；面接（する）,6
791,recall,【他】を思い出す；を呼び戻す 【名】思い出すこと,6
792,demand,【他】を要求する（≒require） 【名】要求；需要（⇔supply）,5
793,hesitate,【自】ためらう（to do）,3
794,pause,【自】ちょっと止める 【名】小休止,5
795,dislike,【他】を嫌う 【名】嫌悪,4
796,hate,【他】を憎む 【名】憎しみ,2
797,concentrate,【自】専念〔集中〕する（on） 【他】を集中させる,3
798,meditation,【名】（通例【複】）瞑想；熟考（on）,6
799,abandon,【他】（やむを得ず）を（見）捨てる；をあきらめる,6
800,desert,【他】を（見）捨てる 【名】砂漠 【形】不毛の,4
801,quit,【他】（仕事など）をやめる,3
802,tradition,【名】伝統；慣習；伝説,4
803,convention,【名】慣習；協定；大会,6
804,heritage,【名】伝統；（文化的）遺産,6
805,legend,【名】伝説；伝承文学,6
806,rival,【名】競争相手 【他】に劣らない；と競争する,4
807,short,【形】不足の；短い,1
808,shrink,【自】縮む；しりごみする 【他】を縮める,5
809,famine,【名】（物資の）不足；飢饉,6
810,classic,【名】傑作；古典 【形】第1級の；典型的な；古典の,6
811,classify,【他】を分類する,6
812,rank,【他】を位置づける 【自】位置する 【名】階級；地位；列,5
813,status,【名】地位；状態,6
814,ladder,【名】はしご；（出世の）会談,6
815,decision,【名】決定；決心,3
816,resolve,【自】【他】決心する；決議する 【他】を解決する,6
817,film,【名】映画；フィルム,2
818,return,【他】を戻す 【自】戻る 【名】戻り；返却；利益,2
819,glory,【名】栄光,5
820,pride,【名】誇り；自尊心 【他】自慢する,2
821,shame,【名】恥；（a shame）残念なこと,3
822,pity,【名】哀れみ；残念なこと 【他】を気の毒に思う,3
823,success,【名】成功（⇔failure）,4
824,triumph,【名】勝利,6
825,feed,【他】（家族など）を養う；に食べ物を与える 【自】食事をする / fed＞fed,2
826,theme,"【名】主題（≒subject, topic）",3
827,division,【名】部門；分割；分配；割り算,5
828,category,【名】範疇；部類（≒class）,6
829,section,【名】部分；区分；階層；（本などの）節,5
830,restore,【他】を回復〔修復〕させる〔する〕；を戻す,6
831,profit,【名】利益 【自】【他】利益を得る〔になる〕,4
832,invest,【自】【他】（金・時間など）投資する（in）,5
833,essential,"【形】不可欠の；基本的な（≒fundamental, basic）",5
834,crucial,【形】決定的な（≒decisive）；必要不可欠の,6
835,indispensable,【形】不可欠な,6
836,reputation,【名】名声；評判,6
837,fame,【名】名声,6
838,although,【接】...だが；...にもかかわらず,3
839,appear,【自】...と思われる；現れる（⇔disappear）,3
840,perform,【他】（仕事など）を行う；を上演〔演奏〕する 【自】上演〔演奏〕する,3
841,behavior,【名】行動；態度,4
842,lie,【自】横たわっている；（ある状態に・原因などが）ある；うそをつく 【名】うそ / lie＞lay＞lain＞lying（横たわっている）/ lie＞lied＞lied＞lying（うそをつく）,3
843,lay,【他】を置く；を横たえる；（卵）を産む / laid ＞ laid,3
844,ray,【名】光線,4
845,exhaust,【他】を疲れ果てさせる；を使い果たす,6
846,capture,【他】（人・動物）を捕らえる；を引き付ける 【名】逮捕,4
847,grab,【他】をつかむ 【名】つかむこと,3
848,seize,【他】をつかむ,5
849,arrest,【他】を逮捕する 【名】逮捕,5
850,cage,【名】（鳥・獣を入れる）かご；檻,4
851,plate,【名】皿；（１人分の）料理；板；（地球表面の）プレート,2
852,recipe,【名】調理法；秘訣,4
853,dish,【名】皿；（皿に盛った）料理,3
854,handle,【名】取っ手；つまみ 【他】をうまく扱う；を操縦する,4
855,furthermore,【副】さらに,6
856,moreover,【副】さらに（≒in addition）,6
857,besides,【副】さらに 【前】に加え；（否定文・疑問文で）以外に,6
858,tail,【名】しっぽ；（通例the）後部,2
859,tale,【名】（事実・伝説・架空の）話；うそ,6
860,eventually,【副】（いろいろあったが）結局,4
861,intimate,【形】親しい；詳しい,6
862,channel,【名】経路；チャンネル；海峡,4
863,tide,【名】潮（の干満）；潮流；（意見などの）形勢,4
864,trap,【他】を閉じこめる；をわなでとらえる 【名】わな,3
865,beneath,【前】の下に,5
866,beyond,【前】を越えて；の及ばない,4
867,onto,【前】の上へ,4
868,above,【前】【副】上（方）に 【副】【形】前述の,3
869,construction,【名】建設（⇔destruction）；建築物,5
870,architecture,【名】建築（学）；建築技術,6
871,consist,【自】成る（of）；存在する（in）,6
872,composition,【名】構成；（音楽などの）作品；作文,4
873,collapse,【自】【名】崩壊（する）；（病気などで突然）倒れる（こと）,5
874,throughout,【前】【副】通して；至るところに,5
875,rescue,【名】救助；救済 【他】（危険・束縛などから）を救う,4
876,save,【他】を救う；を貯蓄する；を節約する,3
877,remove,【他】を取り除く；を移す,3
878,eliminate,【他】を取り除く,5
879,exclude,【他】を除外する,5
880,withdraw,【他】を引っ込める；を退かせる；（預金）を引き出す 【自】退く,4
881,ton,【名】（重量単位）トン；大量,3
882,twist,【他】をより合わせる；を曲げる 【名】ねじれ,4
883,steel,【名】鋼鉄,4
884,crush,【他】を押しつぶす 【自】つぶれる 【名】混雑,5
885,defeat,【他】【名】失敗（させる）；敗北（させる）,4
886,overcome,【他】を克服する；に勝つ,6
887,conquer,【他】を征服する；を克服する,5
888,overwhelm,【他】を圧倒する,6
889,yield,【自】屈する（to） 【他】（作物・利益など）を算出する,6
890,surrender,【自】降伏する 【他】を譲り渡す,5
891,crash,【自】【他】衝突〔墜落〕する〔させる〕 【名】衝突；墜落；故障,4
892,stranger,【名】知らない人；未経験者；（場所に）不慣れな人,4
893,neighbor,【名】近所の人,3
894,unknown,【形】【名】未知の（人；もの）；無名の（人）,5
895,sex,【名】性（別）,3
896,gender,【名】（社会的・文化的）性（差）,6
897,surgery,【名】手術；外科,6
898,lower,【他】を下げる 【形】下部の；下級の（lowの比較級）,3
899,upper,【形】上部の；上級の,3
900,suspect,【他】だと思う（that節）；を疑う 【名】容疑者,4
901,hide,【他】を隠す 【自】隠れる / hid＞hidden,2
902,bury,【他】（死者や物）を埋める,3
903,remind,【他】（人）に思い出させる,3
904,request,【名】依頼 【他】を要請する,3
905,appeal,【自】懇願する；求める；興味を引く 【名】懇願；魅力,3
906,own,【形】自分自身の 【他】を所有している,2
907,possess,【他】を所有している,5
908,comfort,【名】快適さ；慰め 【他】を慰める,3
909,harsh,【形】（状況，現実などが）厳しい；不快な,3
910,relax,【他】をくつろがせる 【自】くつろぐ,3
911,calm,【形】落ち着いた 【名】平静 【自】静まる 【他】を静める,3
912,breathe,【自】【他】呼吸する,2
913,blow,【自】息を吐く；（風が）吹く 【他】を吹く 【名】打撃,2
914,sigh,【自】【名】ため息（をつく）,3
915,yawn,【自】【名】あくび（をする）,5
916,tense,【形】緊張した；硬直した,3
917,elevator,【名】エレベーター,4
918,shoulder,【名】肩,3
919,accept,【他】を受け入れる；を承認する,3
920,obey,【他】（命令・指示など）に従う,4
921,close,【形】接近した；親密な；綿密な 【他】を閉める 【自】閉まる,2
922,nearby,【形】（【名】の前で）近くの 【副】近くで,3
923,complaint,【名】不平,3
924,nowhere,【副】どこにも...ない 【名】実在しない場所,3
925,somewhere,【副】どこかで〔へ〕；およそ 【名】ある場所,4
926,elsewhere,【副】どこか他のところに,3
927,somehow,【副】（動詞修飾）なんとかして；（文修飾）どういうわけか,2
928,anyway,【副】（肯定文）とにかく；（否定文）どうしても（...できない）,2
929,anymore,【副】（否定・疑問文）もはや（...できない）,3
930,jam,【他】を詰め込む；を動かなくする 【自】群がる 【名】込み合い；ジャム,5
931,cram,【他】をぎっしり詰める（into） 【名】詰め込み勉強,3
932,subway,"【名】《米》地下鉄（≒《英》tube,《英》underground）",4
933,anthropologist,【名】人類学者,6
934,pack,【他】を詰める；を包む 【自】衣類を詰める 【名】１箱,3
935,wrap,【他】を包む；を巻きつける,3
936,fold,【他】を包む；を折りたたむ；（手足など）を組む,3
937,public,【形】公共の（⇔private）；民衆の 【名】（the）民衆,3
938,avoid,【他】を避ける,3
939,escape,【自】逃げる 【他】を免れる 【名】脱出；逃避,4
940,except,【前】を除いて（は）,3
941,pursuit,【名】仕事；追跡；追求,5
942,chase,【自】【他】【名】追跡（する）,3
943,entertainment,【名】娯楽；催し物；接待,4
944,amusement,【名】娯楽；面白さ,3
945,attraction,【名】魅力；呼び物,3
946,charm,【名】魅力 【他】を魅了する,4
947,bore,【他】を退屈させる 【名】退屈な人〔もの〕,4
948,dull,【形】退屈な；（色などが）くすんだ；曇った,2
949,compare,【自】匹敵する（with） 【他】を比較する（with）；をたとえる（to）,3
950,sufficient,【形】十分な（for）（≒enough）,3
951,adequate,【形】十分な；適切な,4
952,modest,【形】（数・規模などが）控えめな；謙虚な,4
953,subject,【名】主題；科目；被験者 【形】影響を受けやすい（to）；服従する（to） 【他】を服従させる,2
954,text,【名】本文；原文,2
955,manuscript,【名】原稿；写本,6
956,source,【名】情報源；源；原因,4
957,resource,【名】（通例【複】）資源；財源,5
958,capital,"【名】資本（金）；首都（＝capital, city）；大文字 【形】資本の；主要な；大文字の",5
959,sheet,【名】１枚の紙；シーツ,4
960,means,【名】手段；財力,6
961,via,【前】を経由して（≒by way of）；によって（≒by means of）,6
962,convey,【他】（感情・思考など）を伝える；を運ぶ,5
963,transmit,【他】を送る；（情報など）を伝える；（病気）を伝染させる,5
964,shift,【他】（方向など）を変える 【自】移る 【名】変化；移動；交代（制）,4
965,transition,【名】移り変わり；過渡期,6
966,novel,【名】小説 【形】斬新な,4
967,poem,【名】（１編の）詩,3
968,poet,【名】詩人,4
969,plot,【名】（物語などの）筋；たくらみ；（土地の）小区画,4
970,hero,【名】英雄；（小説などの）主人公,3
971,bible,【名】（the Bible）聖書；必読書,6
972,incredible,【形】素晴らしい；信じられない,4
973,grant,【他】（許可・資格など）を認める；を与える,6
974,admit,【自】【他】（真であると）認める 【他】の入場〔入学；入会〕を認める,3
975,undergo,【他】（試験など）を経験する（≒experience）；（検査など）を受ける / underwent＞undergone,6
976,evolution,【名】進化（論）；発展,5
977,craft,【名】（手先の）技術；工芸,6
978,print,【他】を印刷する；を出版する 【名】印刷（物）,3
979,available,【形】手に入る；利用できる,4
980,author,【名】著者；作者,4
981,authority,【名】権威；権限；（通例 the authorities）当局,5
982,council,【名】（地方自治体の）議会（≒local authority）；会議,6
983,obtain,【他】を入手する（≒gain）,5
984,acquire,【他】を手に入れる,6
985,earn,【他】（金・名声など）を得る；をもたらす,4
986,tool,【名】道具；手段,3
987,implement,【名】（しばしば【複】）道具；手段 【他】（政策など）を実行する,6
988,instrument,【名】器具；楽器,3
989,permanent,【形】永久の,4
990,temporary,【形】一時的な,4
991,leisure,【名】暇；余暇,5
992,recreation,【名】レクリエーション；気晴らし,6
993,electric,【形】電気の；電気で動く,3
994,battery,【名】電池,3
995,wire,【名】針金；ケーブル,3
996,apart,【副】離れて；個々に,4
997,flat,【形】平らな；単調な 【名】《英》アパート,3
998,aside,【副】わきに；離して,4
999,major,【形】重大な（⇔minor）；主要な；大部分の 【自】専攻する（in）,4
1000,chief,【形】主要な；最高位の 【名】長（官）,4
1001,primary,【形】主要な；初等の；根本の,4
1002,principal,【形】主要な 【名】校長；主役,3
1003,shock,【名】衝撃 【他】に衝撃を与える,3
1004,thrill,【自】【他】ぞくぞくする〔させる〕； 【名】ぞくぞく〔わくわく〕すること,4
1005,divorce,【名】離婚 【他】【自】離婚する,6
1006,weak,【形】弱い,1
1007,minor,【形】それほど重要でない；少数の,4
1008,illness,【名】病気,3
1009,symptom,【名】徴候；症状,4
1010,indeed,【副】実際は；本当に；実に,5
1011,emphasize,【他】を強調する（≒stress）,4
1012,exaggerate,【他】を誇張する；を強調する【自】誇張する,6
1013,associate,【他】を結びつける；を連想する 【自】交際する（with） 【名】仲間,5
1014,upset,【他】をあわてさせる；（計画・物など）をひっくり返す / upset＞upset 【形】取り乱して；腹を立てて,3
1015,spill,【他】（液体など）をこぼす 【自】こぼれる,2
1016,investigate,【他】（事件など）を調査する,6
1017,inquire,【自】【他】（事を）尋ねる,6
1018,painful,【形】つらい；痛い,3
1019,sorrow,【名】（深い）悲しみ,4
1020,personally,【副】個人的に；個人的見解では；自分（自身）で,6
1021,private,【形】個人の；内密の；民間の,3
1022,secret,【名】秘密；（通例the）秘訣 【形】秘密の,3
1023,disturb,【他】を不安にする；を乱す；を邪魔する,3
1024,distress,【名】苦悩；疲労；困窮 【他】を苦悩させる,6
1025,interfere,【自】妨げとなる（with）；干渉する（in）,6
1026,interrupt,【自】【他】（話など）さえぎる；中断する,4
1027,topic,【名】話題；論題,3
1028,period,【名】期間；時期；時代；（授業の）時間；周期,3
1029,cycle,【名】周期；循環 【自】自転車に乗る；循環する,4
1030,spell,【他】（語）をつづる 【名】期間,2
1031,afterward(s),【副】後で；後に,4
1032,choose,【他】【自】選ぶ / chose＞chosen,2
1033,select,【他】を選ぶ 【形】選り抜きの,4
1034,appoint,【他】（役職に）を指名する；（時・時間など）を指定する,6
1035,reveal,【他】を明らかにする,5
1036,confess,【他】【自】（犯罪・秘密などを）白状する；（欠点などを）認める,6
1037,conceal,【他】を隠す,5
1038,inner,【形】内部の,3
1039,outer,【形】外側の；中心から離れている,2
1040,external,【形】外（側）の 【名】外部,6
1041,interior,【形】内部の；室内の 【名】内部（⇔exterior）,5
1042,internal,【形】内部の；体内の；（心の）内面の,5
1043,everyday,【形】日常の；毎日の,3
1044,exercise,【名】課題；行使；練習；運動 【他】（権力）を行使する；を運動させる 【自】運動する,1
1045,movement,【名】運動（団体）；動き；移動,3
1046,mobile,【形】動きやすい；移動式の；流動的な,6
1047,highly,【副】非常に；（評価などが）高く,6
1048,depth,【名】深さ,6
1049,include,【他】を含む（≒contain）,3
1050,embrace,【他】を含む；（考えなど）を受け入れる；（人）を抱きしめる,6
1051,lonely,【形】孤独の；寂しい,2
1052,immediately,【副】即座に,3
1053,sample,【名】サンプル；見本,4
1054,evidence,【名】形跡；証拠（≒proof）,4
1055,clue,【名】手がかり,4
1056,witness,【名】目撃者；証人 【他】を目撃する,4
1057,improve,【他】を改良する〔させる〕 【自】よくなる,3
1058,progress,【自】前進する；進歩する 【名】進歩；前進,3
1059,reform,【他】を改善〔改革〕する 【名】（制度・政治などの）改革（運動）,6
1060,resistance,【名】抵抗（力）,4
1061,fight,【自】【他】戦う 【名】けんか；戦い,2
1062,battle,【自】【他】戦う 【名】戦闘,4
1063,conflict,【自】対立する；矛盾する（with） 【名】衝突；矛盾,5
1064,sensitivity,【名】感じやすさ,6
1065,delicate,【形】繊細な；精巧な,3
1066,invade,【他】（国など）に侵入する；を侵害する,5
1067,continue,【自】続く 【他】を続ける,2
1068,individual,【名】個人 【形】個々の；個人の,5
1069,propose,【他】（計画など）を提案する；をもくろむ 【自】結婚を申し込む,5
1070,project,【他】を計画する；を見積もる；を投影する 【名】（事業）計画,4
1071,introduce,【他】を導入する；を紹介する,3
1072,failure,【名】失敗（⇔success）,4
1073,regret,【名】【他】後悔（する）；残念（に思う）,4
1074,silence,【名】沈黙；静けさ,4
1075,interest,【名】利益；利子；重要性；興味 【他】に興味を起こさせる,2
1076,aggressive,【形】攻撃的な；積極的な,5
1077,attack,【名】攻撃：非難；（病気などの）発作 【他】を攻撃する；を非難する,3
1078,hostile,【形】敵意〔反感〕を持った：相反する,5
1079,kick,【自】【他】【名】蹴る（こと）,3
1080,clothes,【名】（複数扱い）衣服,2
1081,laundry,【名】洗濯（物）；クリーニング屋,4
1082,needle,【名】針,4
1083,reduction,【名】減少,5
1084,diminish,【自】【他】減少する〔させる〕,5
1085,discount,【名】割引（率） 【他】を割引する；（話など）を軽視〔無視〕する,5
1086,helpful,【形】親切な；役に立つ,3
1087,useless,【形】役に立たない,3
1088,selfish,【形】利己的な,2
1089,youth,【名】（the）若者；若さ；青春時代,3
1090,expose,【他】をさらす；を暴露する,5
1091,shelter,【他】を保護する 【名】住まい；避難（所）,4
1092,male,【名】【形】男性（の）；雄（の）（⇔female）,3
1093,prefer,【他】を好む,3
1094,shoot,【自】【他】撃つ / shot＞shot,4
1095,adventure,【名】冒険,3
